PLAYER,TEAM,POSITION,MINUTES,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total
Klay Thompson,Warriors,"SG, SF",2747 ,0.7 ,-1.4 ,-0.8 ,1.8 ,0.5 ,2.3 ,0.9 ,-1.1 ,-0.2 ,3.6 
Coby White,Bulls,"PG, SG",1730 ,0.6 ,0.1 ,0.7 ,2.9 ,0.7 ,3.6 ,1.1 ,0.2 ,1.3 ,3.6 
Kevin Huerter,Kings,SG,2386 ,1.6 ,-1.8 ,-0.2 ,2.7 ,-1.2 ,1.5 ,1.8 ,-1.7 ,0.1 ,3.5 
Dejounte Murray,Hawks,"PG, SG",2883 ,1.3 ,-1.0 ,0.2 ,-1.5 ,-1.1 ,-2.6 ,0.7 ,-1.1 ,-0.4 ,3.5 
Royce O'Neale,Nets,"SG, SF",2527 ,-0.8 ,0.7 ,-0.1 ,-1.2 ,1.7 ,0.6 ,-1.0 ,1.0 ,0.0 ,3.5 
Onyeka Okongwu,Hawks,"PF, C",1980 ,-0.7 ,0.8 ,0.1 ,1.6 ,1.4 ,3.0 ,-0.3 ,1.0 ,0.7 ,3.5 
Cole Anthony,Magic,PG,1552 ,1.9 ,-0.6 ,1.3 ,1.7 ,0.2 ,1.9 ,2.0 ,-0.5 ,1.6 ,3.4 
Quentin Grimes,Knicks,SG,2363 ,0.0 ,-0.7 ,-0.7 ,2.4 ,1.0 ,3.4 ,0.4 ,-0.4 ,0.0 ,3.4 
Sam Hauser,Celtics,SF,1394 ,1.3 ,0.7 ,2.0 ,0.4 ,2.1 ,2.4 ,1.1 ,1.0 ,2.1 ,3.4 
Kelly Olynyk,Jazz,"PF, C",1942 ,-0.2 ,0.8 ,0.6 ,1.9 ,-1.0 ,0.9 ,0.2 ,0.5 ,0.7 ,3.4 
Jakob Poeltl,Raptors,C,1906 ,0.5 ,0.5 ,0.9 ,0.4 ,-1.0 ,-0.6 ,0.5 ,0.3 ,0.8 ,3.4 
Bradley Beal,Wizards,"SG, SF",1673 ,2.4 ,-1.4 ,0.9 ,2.6 ,-0.7 ,1.9 ,2.5 ,-1.3 ,1.2 ,3.3 
Malik Monk,Kings,SG,1924 ,2.6 ,-2.2 ,0.4 ,-2.2 ,3.4 ,1.2 ,1.7 ,-1.2 ,0.5 ,3.3 
Larry Nance Jr.,Pelicans,"PF, C",1381 ,-1.2 ,2.1 ,0.9 ,2.1 ,4.0 ,6.1 ,-0.6 ,2.6 ,2.0 ,3.3 
Bruce Brown,Nuggets,"PG, SG, SF",2810 ,-0.4 ,0.9 ,0.5 ,-4.5 ,0.2 ,-4.3 ,-1.3 ,0.8 ,-0.5 ,3.2 
Tyler Herro,Heat,"PG, SG",2356 ,0.8 ,-1.9 ,-1.1 ,2.9 ,1.1 ,4.0 ,1.3 ,-1.4 ,0.0 ,3.2 
Kenrich Williams,Thunder,PF,1206 ,-0.9 ,2.4 ,1.5 ,1.4 ,4.2 ,5.7 ,-0.5 ,2.9 ,2.4 ,3.2 
Grayson Allen,Bucks,"SG, SF",2121 ,0.0 ,0.2 ,0.2 ,0.5 ,-0.5 ,0.0 ,0.1 ,0.1 ,0.1 ,3.1 
Michael Porter Jr.,Nuggets,"SF, PF",2452 ,0.8 ,-2.3 ,-1.5 ,5.1 ,0.2 ,5.3 ,1.6 ,-1.9 ,-0.2 ,3.1 
Andrew Wiggins,Warriors,"SF, PF",1632 ,-1.2 ,1.3 ,0.0 ,0.7 ,3.6 ,4.2 ,-0.9 ,1.8 ,0.9 ,3.1 
Jose Alvarado,Pelicans,PG,1310 ,0.0 ,1.4 ,1.4 ,-0.7 ,3.4 ,2.7 ,-0.1 ,1.9 ,1.8 ,3.0 
Kevin Love,Heat,"PF, C",1599 ,-0.4 ,1.6 ,1.2 ,-0.4 ,0.1 ,-0.3 ,-0.4 ,1.3 ,0.9 ,3.0 
Tyus Jones,Grizzlies,PG,2060 ,1.3 ,-0.8 ,0.5 ,0.8 ,-2.8 ,-1.9 ,1.3 ,-1.3 ,0.0 ,2.9 
Monte Morris,Wizards,PG,1695 ,1.1 ,-0.7 ,0.4 ,4.6 ,-3.1 ,1.4 ,1.9 ,-1.3 ,0.7 ,2.9 
Cedi Osman,Cavaliers,SF,1641 ,0.2 ,0.3 ,0.5 ,-0.2 ,1.8 ,1.6 ,0.2 ,0.6 ,0.7 ,2.9 
Robert Williams III,Celtics,C,1241 ,-0.5 ,1.8 ,1.2 ,2.3 ,1.2 ,3.5 ,0.0 ,1.7 ,1.7 ,2.9 
Tari Eason,Rockets,"SF, PF",1767 ,-0.4 ,0.5 ,0.0 ,-1.9 ,3.0 ,1.2 ,-0.7 ,1.1 ,0.4 ,2.8 
Brandon Ingram,Pelicans,"SG, SF",1538 ,1.9 ,-1.3 ,0.5 ,0.9 ,0.9 ,1.7 ,1.8 ,-1.0 ,0.8 ,2.8 
Terry Rozier,Hornets,"PG, SG",2221 ,0.2 ,-0.5 ,-0.3 ,1.8 ,-2.5 ,-0.7 ,0.7 ,-0.9 ,-0.2 ,2.8 
Dillon Brooks,Grizzlies,"SG, SF",2381 ,-2.0 ,1.2 ,-0.8 ,-2.4 ,3.2 ,0.8 ,-2.2 ,1.7 ,-0.5 ,2.7 
Jerami Grant,Trail Blazers,"SF, PF",2246 ,0.2 ,-0.7 ,-0.5 ,1.5 ,-1.3 ,0.2 ,0.5 ,-0.9 ,-0.4 ,2.7 
Luke Kennard,Grizzlies,SG,1422 ,0.7 ,-0.9 ,-0.2 ,3.8 ,1.8 ,5.6 ,1.4 ,-0.4 ,1.0 ,2.7 
Gabe Vincent,Heat,PG,2431 ,-1.1 ,0.0 ,-1.1 ,0.0 ,1.2 ,1.3 ,-0.9 ,0.2 ,-0.7 ,2.7 
Ivica Zubac,Clippers,C,2300 ,-2.5 ,2.4 ,0.0 ,0.2 ,-2.3 ,-2.1 ,-2.1 ,1.6 ,-0.5 ,2.7 
LaMelo Ball,Hornets,SG,1268 ,1.8 ,-0.4 ,1.5 ,2.7 ,-3.3 ,-0.6 ,2.2 ,-1.0 ,1.2 ,2.6 
